pyears,n,event,rate,term,group,outcome,analysis,pyears_unexposed,ratio,ratio_text
231.8877481177276,1677,NA,0,pattern_rt_gapintermittent,pattern_rt_gap,fract_composite,sens_no_asthma,231.8877481177276,0.35140192344394383,1:0
659.8932238193019,4857,NA,1.5153966791964353,pattern_rt_gapcontinuous,pattern_rt_gap,fract_composite,sens_no_asthma,231.8877481177276,0.35140192344394383,1:0
806.4613278576318,5921,NA,1.2399850624660511,pattern_laggedintermittent,pattern_lagged,fract_composite,sens_no_asthma,806.4613278576318,9.452235022302089,1:9
85.31964407939768,613,NA,0,pattern_laggedcontinuous,pattern_lagged,fract_composite,sens_no_asthma,806.4613278576318,9.452235022302089,1:9
604.1232032854209,4335,NA,1.655291494452904,pattern_ittintermittent,pattern_itt,fract_composite,sens_no_asthma,604.1232032854209,2.100145621365414,1:2
287.6577686516085,2199,NA,0,pattern_ittcontinuous,pattern_itt,fract_composite,sens_no_asthma,604.1232032854209,2.100145621365414,1:2
NA,49,NA,0,cumdose450 to 899 mg,cumdose,fract_composite,sens_no_asthma,NA,0.4660543850171079,1:0
15.203285420944558,113,NA,0,cumdose900 to 1500 mg,cumdose,fract_composite,sens_no_asthma,NA,0.4660543850171079,1:0
869.492128678987,6372,NA,1.1500966679471758,cumdose>1500 mg,cumdose,fract_composite,sens_no_asthma,NA,0.4660543850171079,1:0
806.5817932922656,5913,NA,1.239799866940028,severity0,severity,fract_composite,sens_no_asthma,806.5817932922656,18.895773202488616,1:19
42.68583162217659,299,NA,0,severity1,severity,fract_composite,sens_no_asthma,806.5817932922656,18.895773202488616,1:19
35.148528405201915,269,NA,0,severity2,severity,fract_composite,sens_no_asthma,806.5817932922656,18.895773202488616,1:19
NA,53,NA,0,severity3,severity,fract_composite,sens_no_asthma,806.5817932922656,18.895773202488616,1:19
891.7809719370294,6534,NA,1.1213515778744516,asthma0,asthma,fract_composite,sens_no_asthma,891.7809719370294,Inf,1:Inf
NA,NA,NA,NA,asthma1,asthma,fract_composite,sens_no_asthma,891.7809719370294,Inf,1:Inf
890.7953456536619,6526,NA,1.1225923045951751,alc0,alc,fract_composite,sens_no_asthma,890.7953456536619,903.7861111111113,1:904
NA,NA,NA,0,alc1,alc,fract_composite,sens_no_asthma,890.7953456536619,903.7861111111113,1:904
3468.3778234086244,24802,NA,1.1532768930199513,patternintermittent,pattern,fract_composite,sens_all_ages,3468.3778234086244,9.52829550069949,1:10
364.0082135523614,3851,NA,0,patterncontinuous,pattern,fract_composite,sens_all_ages,3468.3778234086244,9.52829550069949,1:10
166.28336755646816,1168,NA,6.013830575450729,cumdaysfew,cumdays,fract_composite,sens_all_ages,166.28336755646816,0.045356986028838475,1:0
